,,,,,,9,,,,8,,,7,,,6,,,5,,,4,,,3,,,2,,,jinnn,,,,,jo,,,,,,,j]]\jj,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16.0,,,,13,,,11,,,9,,,8,,,7,,,6,,,4.0,,,,3,,,100.0,,,,,,,,,1997,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13,,,11,,,9,,,8,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,,,1998,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13,,,11,,,9,,,8.0,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,,,1999,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13,,,11,,,9,,,8.0,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,(1)1999,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,,,16,,,,13,,,11,,,9,,,8,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,(1)2000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13.0,,,11,,,9,,,8.0,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,(1)2001,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13,,,11.0,,,10,,,8,,,7,,,6,,,4,,,,3,,,100.0,,,,,,,(1)2002,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24.0,,,16,,,,13,,,11.0,,,10,,,8.0,,,7,,,5,,,4.0,,,,3,,,100.0,,,,,,,,,2002,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,,,16,,,,13,,,11,,,10,,,8,,,7,,,5,,,4.0,,,,3,,,100.0,,,,,,,,,2003,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,,,16,,,,13,,,11,,,10,,,8,,,7,,,5,,,4,,,,2,,,100.0,,,,,,,,,2004,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
